date,year,month,decimal_year,toa_net_flux_w_m2,84month_avg
2000-03-01,2000,3,2000.208333,5.960000,
2000-04-01,2000,4,2000.291667,1.930000,
2000-05-01,2000,5,2000.375000,-5.930000,
2000-06-01,2000,6,2000.458333,-10.230000,
2000-07-01,2000,7,2000.541667,-8.710000,
2000-08-01,2000,8,2000.625000,-5.210000,
2000-09-01,2000,9,2000.708333,-0.900000,
2000-10-01,2000,10,2000.791667,1.660000,
2000-11-01,2000,11,2000.875000,4.150000,
2000-12-01,2000,12,2000.958333,6.010000,
2001-01-01,2001,1,2001.041667,9.780000,
2001-02-01,2001,2,2001.125000,8.970000,
2001-03-01,2001,3,2001.208333,7.540000,
2001-04-01,2001,4,2001.291667,1.000000,
2001-05-01,2001,5,2001.375000,-6.110000,
2001-06-01,2001,6,2001.458333,-9.730000,
2001-07-01,2001,7,2001.541667,-8.670000,
2001-08-01,2001,8,2001.625000,-6.100000,
2001-09-01,2001,9,2001.708333,0.010000,
2001-10-01,2001,10,2001.791667,1.100000,
2001-11-01,2001,11,2001.875000,3.570000,
2001-12-01,2001,12,2001.958333,5.160000,
2002-01-01,2002,1,2002.041667,7.820000,
2002-02-01,2002,2,2002.125000,8.040000,
2002-03-01,2002,3,2002.208333,6.500000,
2002-04-01,2002,4,2002.291667,0.700000,
2002-05-01,2002,5,2002.375000,-5.570000,
2002-06-01,2002,6,2002.458333,-10.110000,
2002-07-01,2002,7,2002.541667,-10.170000,
2002-08-01,2002,8,2002.625000,-6.580000,-0.470667
2002-09-01,2002,9,2002.708333,-1.170000,-0.493226
2002-10-01,2002,10,2002.791667,2.590000,-0.396875
2002-11-01,2002,11,2002.875000,3.520000,-0.278182
2002-12-01,2002,12,2002.958333,6.050000,-0.092059
2003-01-01,2003,1,2003.041667,7.620000,0.128286
2003-02-01,2003,2,2003.125000,8.850000,0.370556
2003-03-01,2003,3,2003.208333,6.410000,0.533784
2003-04-01,2003,4,2003.291667,1.290000,0.553684
2003-05-01,2003,5,2003.375000,-6.010000,0.385385
2003-06-01,2003,6,2003.458333,-9.440000,0.139750
2003-07-01,2003,7,2003.541667,-8.910000,-0.080976
2003-08-01,2003,8,2003.625000,-4.720000,-0.191429
2003-09-01,2003,9,2003.708333,-0.590000,-0.200698
2003-10-01,2003,10,2003.791667,1.590000,-0.160000
2003-11-01,2003,11,2003.875000,3.750000,-0.073111
2003-12-01,2003,12,2003.958333,6.010000,0.059130
2004-01-01,2004,1,2004.041667,8.640000,0.241702
2004-02-01,2004,2,2004.125000,9.090000,0.426042
2004-03-01,2004,3,2004.208333,5.570000,0.531020
2004-04-01,2004,4,2004.291667,2.360000,0.567600
2004-05-01,2004,5,2004.375000,-6.480000,0.429412
2004-06-01,2004,6,2004.458333,-10.490000,0.219423
2004-07-01,2004,7,2004.541667,-7.850000,0.067170
2004-08-01,2004,8,2004.625000,-5.200000,-0.030370
2004-09-01,2004,9,2004.708333,-0.040000,-0.030545
2004-10-01,2004,10,2004.791667,1.360000,-0.005714
2004-11-01,2004,11,2004.875000,4.180000,0.067719
2004-12-01,2004,12,2004.958333,7.190000,0.190517
2005-01-01,2005,1,2005.041667,8.040000,0.323559
2005-02-01,2005,2,2005.125000,7.820000,0.448500
2005-03-01,2005,3,2005.208333,6.610000,0.549508
2005-04-01,2005,4,2005.291667,1.120000,0.558710
2005-05-01,2005,5,2005.375000,-4.320000,0.481270
2005-06-01,2005,6,2005.458333,-9.910000,0.318906
2005-07-01,2005,7,2005.541667,-9.850000,0.162462
2005-08-01,2005,8,2005.625000,-5.940000,0.070000
2005-09-01,2005,9,2005.708333,-0.660000,0.059104
2005-10-01,2005,10,2005.791667,1.490000,0.080147
2005-11-01,2005,11,2005.875000,3.570000,0.130725
2005-12-01,2005,12,2005.958333,7.000000,0.228857
2006-01-01,2006,1,2006.041667,8.980000,0.352113
2006-02-01,2006,2,2006.125000,9.190000,0.474861
2006-03-01,2006,3,2006.208333,6.600000,0.558767
2006-04-01,2006,4,2006.291667,2.400000,0.583649
2006-05-01,2006,5,2006.375000,-4.230000,0.519467
2006-06-01,2006,6,2006.458333,-9.200000,0.391579
2006-07-01,2006,7,2006.541667,-9.330000,0.265325
2006-08-01,2006,8,2006.625000,-5.810000,0.187436
2006-09-01,2006,9,2006.708333,-0.490000,0.178861
2006-10-01,2006,10,2006.791667,1.220000,0.191875
2006-11-01,2006,11,2006.875000,4.340000,0.243086
2006-12-01,2006,12,2006.958333,6.090000,0.314390
2007-01-01,2007,1,2007.041667,6.920000,0.393976
2007-02-01,2007,2,2007.125000,8.550000,0.491071
2007-03-01,2007,3,2007.208333,5.880000,0.490119
2007-04-01,2007,4,2007.291667,1.910000,0.489881
2007-05-01,2007,5,2007.375000,-5.620000,0.493571
2007-06-01,2007,6,2007.458333,-8.700000,0.511786
2007-07-01,2007,7,2007.541667,-8.860000,0.510000
2007-08-01,2007,8,2007.625000,-5.710000,0.504048
2007-09-01,2007,9,2007.708333,-1.760000,0.493810
2007-10-01,2007,10,2007.791667,1.640000,0.493571
2007-11-01,2007,11,2007.875000,3.060000,0.480595
2007-12-01,2007,12,2007.958333,5.060000,0.469286
2008-01-01,2008,1,2008.041667,8.560000,0.454762
2008-02-01,2008,2,2008.125000,8.410000,0.448095
2008-03-01,2008,3,2008.208333,7.560000,0.448333
2008-04-01,2008,4,2008.291667,1.790000,0.457738
2008-05-01,2008,5,2008.375000,-4.160000,0.480952
2008-06-01,2008,6,2008.458333,-8.630000,0.494048
2008-07-01,2008,7,2008.541667,-8.090000,0.500952
2008-08-01,2008,8,2008.625000,-3.870000,0.527500
2008-09-01,2008,9,2008.708333,-0.710000,0.518929
2008-10-01,2008,10,2008.791667,2.660000,0.537500
2008-11-01,2008,11,2008.875000,3.520000,0.536905
2008-12-01,2008,12,2008.958333,7.340000,0.562857
2009-01-01,2009,1,2009.041667,8.680000,0.573095
2009-02-01,2009,2,2009.125000,9.290000,0.587976
2009-03-01,2009,3,2009.208333,7.430000,0.599048
2009-04-01,2009,4,2009.291667,1.890000,0.613214
2009-05-01,2009,5,2009.375000,-4.400000,0.627143
2009-06-01,2009,6,2009.458333,-7.530000,0.657857
2009-07-01,2009,7,2009.541667,-8.830000,0.673810
2009-08-01,2009,8,2009.625000,-5.040000,0.692143
2009-09-01,2009,9,2009.708333,-1.390000,0.689524
2009-10-01,2009,10,2009.791667,1.540000,0.677024
2009-11-01,2009,11,2009.875000,2.930000,0.670000
2009-12-01,2009,12,2009.958333,6.260000,0.672500
2010-01-01,2010,1,2010.041667,6.660000,0.661071
2010-02-01,2010,2,2010.125000,8.080000,0.651905
2010-03-01,2010,3,2010.208333,5.630000,0.642619
2010-04-01,2010,4,2010.291667,2.080000,0.652024
2010-05-01,2010,5,2010.375000,-5.950000,0.652738
2010-06-01,2010,6,2010.458333,-9.730000,0.649286
2010-07-01,2010,7,2010.541667,-9.350000,0.644048
2010-08-01,2010,8,2010.625000,-6.050000,0.628214
2010-09-01,2010,9,2010.708333,-0.950000,0.623929
2010-10-01,2010,10,2010.791667,1.510000,0.622976
2010-11-01,2010,11,2010.875000,2.650000,0.609881
2010-12-01,2010,12,2010.958333,5.660000,0.605714
2011-01-01,2011,1,2011.041667,8.580000,0.605000
2011-02-01,2011,2,2011.125000,8.490000,0.597857
2011-03-01,2011,3,2011.208333,6.860000,0.613214
2011-04-01,2011,4,2011.291667,2.400000,0.613690
2011-05-01,2011,5,2011.375000,-4.270000,0.640000
2011-06-01,2011,6,2011.458333,-9.490000,0.651905
2011-07-01,2011,7,2011.541667,-8.980000,0.638452
2011-08-01,2011,8,2011.625000,-5.380000,0.636310
2011-09-01,2011,9,2011.708333,-1.360000,0.620595
2011-10-01,2011,10,2011.791667,3.090000,0.641190
2011-11-01,2011,11,2011.875000,3.980000,0.638810
2011-12-01,2011,12,2011.958333,4.800000,0.610357
2012-01-01,2012,1,2012.041667,8.740000,0.618690
2012-02-01,2012,2,2012.125000,10.670000,0.652619
2012-03-01,2012,3,2012.208333,6.700000,0.653690
2012-04-01,2012,4,2012.291667,2.570000,0.670952
2012-05-01,2012,5,2012.375000,-4.200000,0.672381
2012-06-01,2012,6,2012.458333,-8.740000,0.686310
2012-07-01,2012,7,2012.541667,-8.200000,0.705952
2012-08-01,2012,8,2012.625000,-4.530000,0.722738
2012-09-01,2012,9,2012.708333,-0.660000,0.722738
2012-10-01,2012,10,2012.791667,2.620000,0.736190
2012-11-01,2012,11,2012.875000,4.570000,0.748095
2012-12-01,2012,12,2012.958333,7.060000,0.748810
2013-01-01,2013,1,2013.041667,6.780000,0.722619
2013-02-01,2013,2,2013.125000,8.480000,0.714167
2013-03-01,2013,3,2013.208333,7.340000,0.722976
2013-04-01,2013,4,2013.291667,1.300000,0.709881
2013-05-01,2013,5,2013.375000,-4.800000,0.703095
2013-06-01,2013,6,2013.458333,-9.600000,0.698333
2013-07-01,2013,7,2013.541667,-8.360000,0.709881
2013-08-01,2013,8,2013.625000,-4.940000,0.720238
2013-09-01,2013,9,2013.708333,-0.790000,0.716667
2013-10-01,2013,10,2013.791667,1.560000,0.720714
2013-11-01,2013,11,2013.875000,3.880000,0.715238
2013-12-01,2013,12,2013.958333,6.200000,0.716548
2014-01-01,2014,1,2014.041667,7.850000,0.727619
2014-02-01,2014,2,2014.125000,8.450000,0.726429
2014-03-01,2014,3,2014.208333,7.050000,0.740357
2014-04-01,2014,4,2014.291667,2.400000,0.746190
2014-05-01,2014,5,2014.375000,-4.300000,0.761905
2014-06-01,2014,6,2014.458333,-9.570000,0.751548
2014-07-01,2014,7,2014.541667,-9.380000,0.745357
2014-08-01,2014,8,2014.625000,-4.210000,0.763214
2014-09-01,2014,9,2014.708333,-0.180000,0.782024
2014-10-01,2014,10,2014.791667,2.230000,0.789048
2014-11-01,2014,11,2014.875000,4.100000,0.801429
2014-12-01,2014,12,2014.958333,5.850000,0.810833
2015-01-01,2015,1,2015.041667,7.410000,0.797143
2015-02-01,2015,2,2015.125000,9.210000,0.806667
2015-03-01,2015,3,2015.208333,7.100000,0.801190
2015-04-01,2015,4,2015.291667,2.320000,0.807500
2015-05-01,2015,5,2015.375000,-4.300000,0.805833
2015-06-01,2015,6,2015.458333,-8.900000,0.802619
2015-07-01,2015,7,2015.541667,-8.050000,0.803095
2015-08-01,2015,8,2015.625000,-4.210000,0.799048
2015-09-01,2015,9,2015.708333,0.210000,0.810000
2015-10-01,2015,10,2015.791667,2.290000,0.805595
2015-11-01,2015,11,2015.875000,3.900000,0.810119
2015-12-01,2015,12,2015.958333,6.120000,0.795595
2016-01-01,2016,1,2016.041667,8.000000,0.787500
2016-02-01,2016,2,2016.125000,7.310000,0.763929
2016-03-01,2016,3,2016.208333,6.320000,0.750714
2016-04-01,2016,4,2016.291667,1.480000,0.745833
2016-05-01,2016,5,2016.375000,-4.890000,0.740000
2016-06-01,2016,6,2016.458333,-7.530000,0.740000
2016-07-01,2016,7,2016.541667,-8.190000,0.747619
2016-08-01,2016,8,2016.625000,-4.640000,0.752381
2016-09-01,2016,9,2016.708333,-0.240000,0.766071
2016-10-01,2016,10,2016.791667,2.040000,0.772024
2016-11-01,2016,11,2016.875000,4.820000,0.794524
2016-12-01,2016,12,2016.958333,6.870000,0.801786
2017-01-01,2017,1,2017.041667,9.280000,0.832976
2017-02-01,2017,2,2017.125000,9.710000,0.852381
2017-03-01,2017,3,2017.208333,7.250000,0.871667
2017-04-01,2017,4,2017.291667,1.930000,0.869881
2017-05-01,2017,5,2017.375000,-5.210000,0.878690
2017-06-01,2017,6,2017.458333,-8.440000,0.894048
2017-07-01,2017,7,2017.541667,-8.100000,0.908929
2017-08-01,2017,8,2017.625000,-5.070000,0.920595
2017-09-01,2017,9,2017.708333,-1.040000,0.919524
2017-10-01,2017,10,2017.791667,1.360000,0.917738
2017-11-01,2017,11,2017.875000,4.010000,0.933929
2017-12-01,2017,12,2017.958333,5.700000,0.934405
2018-01-01,2018,1,2018.041667,8.850000,0.937619
2018-02-01,2018,2,2018.125000,9.160000,0.945595
2018-03-01,2018,3,2018.208333,6.710000,0.943810
2018-04-01,2018,4,2018.291667,2.990000,0.950833
2018-05-01,2018,5,2018.375000,-4.410000,0.949167
2018-06-01,2018,6,2018.458333,-9.550000,0.948452
2018-07-01,2018,7,2018.541667,-8.540000,0.953690
2018-08-01,2018,8,2018.625000,-4.800000,0.960595
2018-09-01,2018,9,2018.708333,0.420000,0.981786
2018-10-01,2018,10,2018.791667,2.980000,0.980476
2018-11-01,2018,11,2018.875000,5.120000,0.994048
2018-12-01,2018,12,2018.958333,7.470000,1.025833
2019-01-01,2019,1,2019.041667,8.660000,1.024881
2019-02-01,2019,2,2019.125000,9.450000,1.010357
2019-03-01,2019,3,2019.208333,7.350000,1.018095
2019-04-01,2019,4,2019.291667,2.190000,1.013571
2019-05-01,2019,5,2019.375000,-4.410000,1.011071
2019-06-01,2019,6,2019.458333,-8.400000,1.015119
2019-07-01,2019,7,2019.541667,-8.170000,1.015476
2019-08-01,2019,8,2019.625000,-4.970000,1.010238
2019-09-01,2019,9,2019.708333,0.020000,1.018333
2019-10-01,2019,10,2019.791667,3.490000,1.028690
2019-11-01,2019,11,2019.875000,4.750000,1.030833
2019-12-01,2019,12,2019.958333,6.250000,1.021190
2020-01-01,2020,1,2020.041667,8.180000,1.037857
2020-02-01,2020,2,2020.125000,8.410000,1.037024
2020-03-01,2020,3,2020.208333,7.020000,1.033214
2020-04-01,2020,4,2020.291667,2.400000,1.046310
2020-05-01,2020,5,2020.375000,-4.740000,1.047024
2020-06-01,2020,6,2020.458333,-8.880000,1.055595
2020-07-01,2020,7,2020.541667,-8.430000,1.054762
2020-08-01,2020,8,2020.625000,-4.200000,1.063571
2020-09-01,2020,9,2020.708333,-0.700000,1.064643
2020-10-01,2020,10,2020.791667,1.430000,1.063095
2020-11-01,2020,11,2020.875000,3.020000,1.052857
2020-12-01,2020,12,2020.958333,5.290000,1.042024
2021-01-01,2021,1,2021.041667,8.170000,1.045833
2021-02-01,2021,2,2021.125000,8.890000,1.051071
2021-03-01,2021,3,2021.208333,7.690000,1.058690
2021-04-01,2021,4,2021.291667,2.960000,1.065357
2021-05-01,2021,5,2021.375000,-4.370000,1.064524
2021-06-01,2021,6,2021.458333,-7.290000,1.091667
2021-07-01,2021,7,2021.541667,-8.020000,1.107857
2021-08-01,2021,8,2021.625000,-4.130000,1.108810
2021-09-01,2021,9,2021.708333,0.410000,1.115833
2021-10-01,2021,10,2021.791667,2.560000,1.119762
2021-11-01,2021,11,2021.875000,5.000000,1.130476
2021-12-01,2021,12,2021.958333,6.250000,1.135238
2022-01-01,2022,1,2022.041667,9.250000,1.157143
2022-02-01,2022,2,2022.125000,9.440000,1.159881
2022-03-01,2022,3,2022.208333,7.380000,1.163214
2022-04-01,2022,4,2022.291667,1.790000,1.156905
2022-05-01,2022,5,2022.375000,-5.280000,1.145238
2022-06-01,2022,6,2022.458333,-7.390000,1.163214
2022-07-01,2022,7,2022.541667,-8.660000,1.155952
2022-08-01,2022,8,2022.625000,-3.860000,1.160119
2022-09-01,2022,9,2022.708333,0.240000,1.160476
2022-10-01,2022,10,2022.791667,2.740000,1.165833
2022-11-01,2022,11,2022.875000,4.660000,1.174881
2022-12-01,2022,12,2022.958333,7.690000,1.193571
2023-01-01,2023,1,2023.041667,9.560000,1.212143
2023-02-01,2023,2,2023.125000,10.010000,1.244286
2023-03-01,2023,3,2023.208333,8.300000,1.267857
2023-04-01,2023,4,2023.291667,3.910000,1.296786
2023-05-01,2023,5,2023.375000,-3.310000,1.315595
2023-06-01,2023,6,2023.458333,-7.950000,1.310595
2023-07-01,2023,7,2023.541667,-7.990000,1.312976
2023-08-01,2023,8,2023.625000,-4.070000,1.319762
2023-09-01,2023,9,2023.708333,0.130000,1.324167
2023-10-01,2023,10,2023.791667,2.230000,1.326429
2023-11-01,2023,11,2023.875000,4.490000,1.322500
2023-12-01,2023,12,2023.958333,6.770000,1.321310
2024-01-01,2024,1,2024.041667,8.000000,1.306071
2024-02-01,2024,2,2024.125000,8.740000,1.294524
2024-03-01,2024,3,2024.208333,6.710000,1.288095
2024-04-01,2024,4,2024.291667,2.280000,1.292262
2024-05-01,2024,5,2024.375000,-5.890000,1.284167
2024-06-01,2024,6,2024.458333,-8.870000,1.279048
2024-07-01,2024,7,2024.541667,-8.770000,1.271071
2024-08-01,2024,8,2024.625000,-4.570000,1.277024
2024-09-01,2024,9,2024.708333,-0.360000,1.285119
2024-10-01,2024,10,2024.791667,2.450000,1.298095
2024-11-01,2024,11,2024.875000,4.210000,1.300476
2024-12-01,2024,12,2024.958333,5.890000,1.302738
2025-01-01,2025,1,2025.041667,9.710000,1.312976
2025-02-01,2025,2,2025.125000,9.000000,1.311071
2025-03-01,2025,3,2025.208333,7.360000,1.318810
2025-04-01,2025,4,2025.291667,1.980000,1.306786
2025-05-01,2025,5,2025.375000,-5.020000,1.299524
2025-06-01,2025,6,2025.458333,-8.930000,1.306905
2025-07-01,2025,7,2025.541667,-7.910000,1.314405
2025-08-01,2025,8,2025.625000,-3.740000,1.327024
2025-09-01,2025,9,2025.708333,0.360000,1.326310
2025-10-01,2025,10,2025.791667,2.280000,1.317976
2025-11-01,2025,11,2025.875000,4.660000,1.312500
2025-12-01,2025,12,2025.958333,8.010000,1.318929
2026-01-01,2026,1,2026.041667,9.780000,1.332262
